airline	days_week	flight	route_from	route_to	valid_from	valid_till	encity_from	encity_to	encountry_from	encountry_to
PS	14	PS797	VIN	TLV	04.09.2017	07.09.2017	Vinnytsia	Tel-aviv	Ukraine	Israel
PS	37	PS798	TLV	VIN	03.09.2017	06.09.2017	Tel-aviv	Vinnytsia	Israel	Ukraine
PS	15	PS583	VIN	WAW	01.09.2017	25.09.2017	Vinnytsia	Warsaw	Ukraine	Poland
PS	47	PS584	WAW	VIN	03.09.2017	28.09.2017	Warsaw	Vinnytsia	Poland	Ukraine
PS	1234567	PS9818	DNK	VIE	09.07.2017	15.09.2017	Dnipro	Vienna	Ukraine	Austria
PS	1234567	PS9817	VIE	DNK	15.05.2017	15.09.2017	Vienna	Dnipro	Austria	Ukraine
PS	1247	PS791	DNK	TLV	21.08.2017	28.09.2017	Dnipro	Tel-aviv	Ukraine	Israel
PS	1235	PS792	TLV	DNK	21.08.2017	29.09.2017	Tel-aviv	Dnipro	Israel	Ukraine
PS	5	PS549	OZH	BUS	25.08.2017	15.09.2017	Zaporizhia	Batumi	Ukraine	Georgia
PS	3	PS549	OZH	BUS	06.09.2017	06.09.2017	Zaporizhia	Batumi	Ukraine	Georgia
PS	6	PS550	BUS	OZH	26.08.2017	02.09.2017	Batumi	Zaporizhia	Georgia	Ukraine
PS	4	PS550	BUS	OZH	07.09.2017	07.09.2017	Batumi	Zaporizhia	Georgia	Ukraine
PS	4	PS799	OZH	TLV	07.09.2017	28.09.2017	Zaporizhia	Tel-aviv	Ukraine	Israel
PS	6	PS799	OZH	TLV	02.09.2017	16.09.2017	Zaporizhia	Tel-aviv	Ukraine	Israel
PS	57	PS800	TLV	OZH	25.08.2017	22.09.2017	Tel-aviv	Zaporizhia	Israel	Ukraine
PS	37	PS935	IFO	ALC	23.08.2017	27.09.2017	Ivano-Frankivsk	Alicante	Ukraine	Spain
PS	4	PS935	IFO	ALC	24.08.2017	07.09.2017	Ivano-Frankivsk	Alicante	Ukraine	Spain
PS	14	PS936	ALC	IFO	21.08.2017	28.09.2017	Alicante	Ivano-Frankivsk	Spain	Ukraine
PS	5	PS936	ALC	IFO	25.08.2017	08.09.2017	Alicante	Ivano-Frankivsk	Spain	Ukraine
PS	15	PS939	IFO	VLC	21.08.2017	15.09.2017	Ivano-Frankivsk	Valencia	Ukraine	Spain
PS	26	PS940	VLC	IFO	22.08.2017	16.09.2017	Valencia	Ivano-Frankivsk	Spain	Ukraine
PS	1234567	PS845	KBP	VIE	31.08.2017	18.09.2017	Kiev	Vienna	Ukraine	Austria
PS	1234567	PS847	KBP	VIE	30.08.2017	14.09.2017	Kiev	Vienna	Ukraine	Austria
PS	123456	PS9814	KBP	VIE	12.07.2017	28.10.2017	Kiev	Vienna	Ukraine	Austria
PS	1234567	PS9816	KBP	VIE	26.03.2017	28.10.2017	Kiev	Vienna	Ukraine	Austria
PS	1234567	PS846	VIE	KBP	31.08.2017	18.09.2017	Vienna	Kiev	Austria	Ukraine
PS	1234567	PS848	VIE	KBP	30.08.2017	14.09.2017	Vienna	Kiev	Austria	Ukraine
PS	1234567	PS9815	VIE	KBP	26.03.2017	28.10.2017	Vienna	Kiev	Austria	Ukraine
PS	123457	PS9813	VIE	KBP	26.03.2017	27.10.2017	Vienna	Kiev	Austria	Ukraine
PS	1234567	PS601	KBP	GYD	01.09.2017	17.09.2017	Kiev	Baku	Ukraine	Azerbaijan
PS	46	PS9684	KBP	GYD	26.08.2017	14.09.2017	Kiev	Baku	Ukraine	Azerbaijan
PS	15	PS9684	KBP	GYD	28.08.2017	22.09.2017	Kiev	Baku	Ukraine	Azerbaijan
PS	7	PS9684	KBP	GYD	18.06.2017	03.09.2017	Kiev	Baku	Ukraine	Azerbaijan
PS	1234567	PS602	GYD	KBP	01.09.2017	17.09.2017	Baku	Kiev	Azerbaijan	Ukraine
PS	46	PS9683	GYD	KBP	26.08.2017	09.09.2017	Baku	Kiev	Azerbaijan	Ukraine
PS	15	PS9683	GYD	KBP	28.08.2017	22.09.2017	Baku	Kiev	Azerbaijan	Ukraine
PS	7	PS9683	GYD	KBP	18.06.2017	03.09.2017	Baku	Kiev	Azerbaijan	Ukraine
PS	1234567	PS145	KBP	BRU	01.09.2017	08.09.2017	Kiev	Brussels	Ukraine	Belgium
PS	257	PS147	KBP	BRU	27.08.2017	15.09.2017	Kiev	Brussels	Ukraine	Belgium
PS	136	PS148	BRU	KBP	02.09.2017	13.09.2017	Brussels	Kiev	Belgium	Ukraine
PS	1234567	PS146	BRU	KBP	01.09.2017	08.09.2017	Brussels	Kiev	Belgium	Ukraine
PS	1234567	PS1555	KBP	SOF	04.06.2017	28.10.2017	Kiev	Sofia	Ukraine	Bulgaria
PS	1234567	PS1556	SOF	KBP	04.06.2017	28.10.2017	Sofia	Kiev	Bulgaria	Ukraine
PS	134567	PS889	KBP	MSQ	30.08.2017	15.09.2017	Kiev	Minsk	Ukraine	Belarus
PS	2	PS891	KBP	MSQ	22.08.2017	12.09.2017	Kiev	Minsk	Ukraine	Belarus
PS	1234567	PS893	KBP	MSQ	01.09.2017	08.09.2017	Kiev	Minsk	Ukraine	Belarus
PS	1234567	B2844	KBP	MSQ	25.08.2017	28.10.2017	Kiev	Minsk	Ukraine	Belarus
PS	1234567	PS894	MSQ	KBP	01.09.2017	08.09.2017	Minsk	Kiev	Belarus	Ukraine
PS	1234567	PS892	MSQ	KBP	30.08.2017	15.09.2017	Minsk	Kiev	Belarus	Ukraine
PS	24567	PS613	KBP	EVN	01.09.2017	08.09.2017	Kiev	Yerevan	Ukraine	Armenia
PS	1234567	PS611	KBP	EVN	26.08.2017	15.09.2017	Kiev	Yerevan	Ukraine	Armenia
PS	1234567	PS612	EVN	KBP	01.09.2017	15.09.2017	Yerevan	Kiev	Armenia	Ukraine
PS	24567	PS614	EVN	KBP	01.09.2017	08.09.2017	Yerevan	Kiev	Armenia	Ukraine
PS	1234567	PS111	KBP	LGW	01.09.2017	20.09.2017	Kiev	London	Ukraine	United Kingdom
PS	1234567	PS113	KBP	LGW	01.09.2017	19.09.2017	Kiev	London	Ukraine	United Kingdom
PS	1234567	PS112	LGW	KBP	01.09.2017	29.09.2017	London	Kiev	United Kingdom	Ukraine
PS	1234567	PS114	LGW	KBP	01.09.2017	19.09.2017	London	Kiev	United Kingdom	Ukraine
PS	5	PS506	KUT	KBP	01.09.2017	01.09.2017	Kutaisi	Kiev	Georgia	Ukraine
PS	1234567	PS515	KBP	TBS	01.09.2017	17.09.2017	Kiev	Tbilisi	Ukraine	Georgia
