ukcountry	encountry
Туреччина	Turkey
Ізраїль	Israel
Румунія	Romania
Королівство Іспанія	Spain
Мальдіви	Maldives
Білорусь	Belarus
Республіка Словенія	Slovenia
Йорданія	Jordan
Киргизька Республіка	Kyrgyzstan
Грецька Республіка	Greece
Швеція	Sweden
Чорногорія	Montenegro
Королівство Бельгія	Belgium
Мальта	Malta
Латвія	Latvia
Німеччина	Germany
Королівство Великої Британії та Північної Ірландії	United Kingdom
Туніська Республіка	Tunisia
Угорщина	Hungary
Королівство Нідерланди	Netherlands
Малайзія	Malaysia
Вірменія	Armenia
Держава Ізраїль	Israel
Сирія	Syria
Латвійська Республіка	Latvia
Республіка Ірак	Iraq
Саудівська Аравія	Saudi Arabia
ПАР	South Africa
Республіка Хорватія	Croatia
Китайська Народна Республіка	China
Республіка Сербiя	Serbia
Словаччина	Slovakia
Республіка Кіпр	Cyprus
Словенія	Slovenia
Російська Федерація	Russia
Монголія	Mongolia
Марокко	Morocco
Греція	Greece
Іран	Iran
Норвегія	Norway
Кіпр	Cyprus
Чехія	Czech Republic
Киргизстан	Kyrgyzstan
Французька Республіка	France
Республіка Узбекистан	Uzbekistan
Узбекістан	Uzbekistan
Республіка Австрія	Austria
Королівство Швеція	Sweden
Арабська Республіка Єгипет	Egypt
Португальська Республіка	Portugal
Данія	Denmark
Індонезія	Indonesia
Бельгія	Belgium
Хорватія	Croatia
Республіка Польща	Poland
Республика Вірменія	Armenia
Республіка Казахстан	Kazakhstan
Республіка Туреччина	Turkey
Азербайджанська Республіка	Azerbaijan
Куба	Cuba
Республіка Корея	South Korea
Фінляндська Республіка	Finland
Казахстан	Kazakhstan
Гонконг	Hong Kong
Ірак	Iraq
Сербія	Serbia
Таїланд	Thailand
Азербайджан	Azerbaijan
Індія	India
ОАЕ	United Arab Emirates
Словацька республіка	Slovakia
Королівство Норвегія	Norway
Катар	Qatar
В’єтнам	Vietnam
Грузія	Georgia
Шрі-Ланка	Sri Lanka
Ірландія	Ireland
Ісламська Республіка Іран	Iran
Республіка Таджикистан	Tajikistan
Італійська Республіка	Italy
Боснія і Герцеговина	Bosnia and Herzegovina
Польша	Poland
Литва	Lithuania
Фінляндія	Finland
Республіка Албанія	Albania
Франція	France
Молдова	Moldova
Кувейт	Kuwait
Італія	Italy
Люксембург	Luxembourg
Бразилія	Brazil
Македонія	Macedonia
Австрія	Austria
КНР	China
Ліван	Lebanon
Федеративна Республіка Німеччина	Germany
Ісландія	Iceland
Демократична Соціалістична Республіка Шрі-Ланка	Sri Lanka
Бахрейн	Bahrain
Чеська Республіка	Czech Republic
Лівія	Libya
Нідерланди	Netherlands
Єгипет	Egypt
Велика Британія	United Kingdom
Естонія	Estonia
Пакистан	Pakistan
Сінгапур	Singapore
Республіка Білорусь	Belarus
Литовська Республіка	Lithuania
Республіка Індія	India
Республіка Молдова	Moldova
Албанія	Albania
Болгарія	Bulgaria
Ліванська Республіка	Lebanon
США	United States
Хашимітське Королівство Йорданія	Jordan
Угорська Республіка	Hungary
Швейцарія	Switzerland
Канада	Canada
Об'єднані Арабські Емірати	United Arab Emirates
Королівство Таїланд	Thailand
Туніс	Tunisia
Республіка Болгарія	Bulgaria
Португалія	Portugal
Таджикістан	Tajikistan
Туркменістан	Turkmenistan
Іспанія	Spain
