airline	days_week	flight	route_from	route_to	valid_from	valid_till	encity_from	encity_to	encountry_from	encountry_to
PS	14	PS797	VIN	TLV	2017-09-04	2017-09-07	Vinnytsia	Vinnytsia	Ukraine	Israel
PS	37	PS798	TLV	VIN	2017-09-03	2017-09-06	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	15	PS583	VIN	WRO	2017-09-01	2017-09-25	Vinnytsia	Vinnytsia	Ukraine	Poland
PS	47	PS584	WRO	VIN	2017-09-03	2017-09-28	Wroclaw	Wroclaw	Poland	Ukraine
PS	1234567	PS9818	DNK	VIE	2017-07-09	2017-09-15	Dnipro	Dnipro	Ukraine	Austria
PS	1234567	PS9817	VIE	DNK	2017-05-15	2017-09-15	Vienna	Vienna	Austria	Ukraine
PS	1247	PS791	DNK	TLV	2017-08-01	2017-10-26	Dnipro	Dnipro	Ukraine	Israel
PS	1235	PS792	TLV	DNK	2017-08-01	2017-10-27	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	5	PS549	OZH	BUS	2017-08-25	2017-09-15	Zaporizhia	Zaporizhia	Ukraine	Georgia
PS	3	PS549	OZH	BUS	2017-08-23	2017-09-06	Zaporizhia	Zaporizhia	Ukraine	Georgia
PS	6	PS550	BUS	OZH	2017-08-26	2017-09-16	Batumi	Batumi	Georgia	Ukraine
PS	4	PS550	BUS	OZH	2017-08-24	2017-09-07	Batumi	Batumi	Georgia	Ukraine
PS	4	PS799	OZH	TLV	2017-09-07	2017-10-05	Zaporizhia	Zaporizhia	Ukraine	Israel
PS	6	PS799	OZH	TLV	2017-09-02	2017-09-16	Zaporizhia	Zaporizhia	Ukraine	Israel
PS	57	PS800	TLV	OZH	2017-08-04	2017-09-22	Tel-aviv	Tel-aviv	Israel	Ukraine
PS	37	PS935	IFO	ALC	2017-08-02	2017-10-25	Ivano-Frankivsk	Ivano-Frankivsk	Ukraine	Spain
PS	4	PS935	IFO	ALC	2017-08-03	2017-09-07	Ivano-Frankivsk	Ivano-Frankivsk	Ukraine	Spain
PS	14	PS936	ALC	IFO	2017-08-03	2017-11-02	Alicante	Alicante	Spain	Ukraine
