country	stage	date	iata_season	fw_gen	fw_route	fw_airline	text	cities_ua	cities_foreign	nua_cities	nforeign_cities	isfull	comments	airlines_total	airlines_route	encities_ua	encities_foreign	encountry
Австрія	чинна	01.12.1994	всі	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	999	999	0		999	999	all	all	Austria
Азербайджан	чинна	30.01.1996	всі	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	999	999	1		999	1	all	all	Azerbaijan
Азербайджан	чинна	30.01.1996	всі	999	999	999	ез обмежень	Одеса|Львів	Лінкорань	1	1	1		999	1	Odessa|Lviv	Lankaran	Azerbaijan
Албанія	проект		всі	7	7	7	7 рейсів на тиждень	Київ	Тирана	1	1	0		999	999	Kiev	Tirana	Albania
Бахрейн	парафована		всі	14	14	14	14 рейсів на Київ-Бахрейн	Київ	Бахрейн	1	1	1		999	999	Kiev	Bahrain	Bahrain
Бахрейн	парафована		всі	7	7	7	7 рейсів на інших маршрутах	всі	всі	999	999	1		999	999	all	all	Bahrain
Бельгія	чинна	01.01.2003	всі	999	999	999	Узгоджуються в робочому порядку	всі	всі	999	999	0	Узгоджуються в робочому порядку	1	1	all	all	Belgium
Білорусь	чинна	19.09.1995	літо	35	35	35	по 5 рейсів на день для кожної сторони Київ - Мінськ.	Київ	Мінськ	1	1	1		999	999	Kiev	Minsk	Belarus
Білорусь	чинна	19.09.1995	всі	999	999	999	без обмежень	всі	всі	999	999	1		999	999	all	all	Belarus
Болгарія	чинна	14.04.1995	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Bulgaria
Боснія і Герцеговина	чинна	17.12.2009	всі	999	999	999	без обмежень	Київ	всі	1	999	0		999	999	Kiev	all	Bosnia and Herzegovina
Бразилія	підписана	2.12.2009	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Brazil
В’єтнам	чинна	20.04.1994	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Vietnam
Велика Британія	чинна	17.07.2015	всі	17	17	17	17 рейсів: Лондон-Київ.	Київ	Лондон	1	1	1		999	999	Kiev	London	United Kingdom
Велика Британія	чинна	17.07.2015	всі	7	7	7	7 рейсів: на інших маршрутах, крім Лондона і Києва.	всі	всі	999	999	1		999	999	all	all	United Kingdom
Велика Британія	чинна	17.07.2015	всі	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	Київ	всі	1	999	1		999	999	Kiev	all	United Kingdom
Велика Британія	чинна	17.07.2015	всі	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	всі	Лондон	999	1	1		999	999	all	London	United Kingdom
Вірменія	чинна	11.08.1995	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Armenia
Гонконг	проект		всі	999	7	999	7 рейсів на тиждень по кожному маршруту	всі	Гонконг	999	1	0		999	999	all	Hong Kong	Hong Kong
Греція	підписана	06.10.2011	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Greece
Грузія	чинна	11.11.2011	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Georgia
Данія	чинна	27.3.2001	всі	999	999	999	без обмежень	всі	Копенгаген|NA|NA	3	3	0		999	999	all	Copenhagen|NA|NA	Denmark
Естонія	чинна	16.09.1993	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Estonia
Єгипет	чинна	22.12.1993	всі	8	8	8	4 рейси для кожної сторони за основним маршрутом Київ-Каїр без обмеження ємності.	Київ	Каїр	1	1	1		999	999	Kiev	Cairo	Egypt
Єгипет	чинна	22.12.1993	всі	4	4	4	4 рейси сукупно на інших ніж Київ і Каїр маршрутах	всі	всі	999	999	1	450 крісел/тиждень у кожному напрямку	999	999	all	all	Egypt
Ізраїль	чинна	17.09.1995	всі	31	31	31	до 31 частоти на тиждень за маршрутом Київ – Тель-Авів	Київ	Тель-Авів	1	1	1		2	2	Kiev	Tel-aviv	Israel
Ізраїль	чинна	17.9.1995	всі	14	14	14	до 14 частот на тиждень за усіма іншими маршрутами	Київ|Одеса|Сімферополь|Дніпропетровськ|Донецьк|Львів|Харків	Ейлат|Тель-Авів	7	2	1		999	1	Kiev|Odessa|Simferopol|Dnipro|Donetsk|Lviv|Kharkiv	Eilat|Tel-aviv	Israel
Індія	чинна	7.7.1995	всі	14	2	7	По 7 рейсів на тиждень для кожної а/к з кожної сторони при польотах до/з Делі.	всі	Делі	999	1	1		2	2	all	Delhi	India
Індія	чинна	07.07.1995	всі	999	2	999	До 2 рейсів на тиждень на кожному маршруті.	всі	Нью-Делі|Гоа|Амрітсар	999	3	1		2	2	all	New Delhi|Goa|Amritsar	India
Індонезія	чинна	16.01.1999	всі	999	999	999	без обмежень	всі	Джакарта	999	1	0		1	1	all	Jakarta	Indonesia
Ірак	проект		всі	999	7	999	по 7 рейсів на тиждень на кожному маршруті	всі	всі	999	999	0		999	999	all	all	Iraq
Іран	чинна	17.09.1995	всі	999	4	999	по 4 рейсів на тиждень на кожному маршруті	всі	всі	999	999	0		999	999	all	all	Iran
Ісландія	проект		всі	999	999	999	без обмежень	Київ	Рейк’явік	1	1	0		999	999	Kiev	Reykjavik	Iceland
Ірландія	проект		всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Ireland
Іспанія	чинна	27.03.1998	всі	999	999	999	без обмежень	всі	всі	999	999	0		999	999	all	all	Spain
