country	stage	date	fw_gen	fw_route	fw_airline	text	cities_ua	cities_foreign	notfull	comments	airlines_total	airlines_route	encities_ua	encities_foreign	encountry	url
Австрія	чинна	01.12.1994	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	0		999	999	all	all	Austria	http://zakon3.rada.gov.ua/laws/show/040_001
Азербайджан	чинна	30.01.1996	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	1		999	1	all	all	Azerbaijan	http://zakon2.rada.gov.ua/laws/show/031_059
Азербайджан	чинна	30.01.1996	999	999	999	без обмежень	Одеса--Львів	Лінкорань	1		999	1	Odessa--Lviv	Lankaran	Azerbaijan	http://zakon2.rada.gov.ua/laws/show/031_059
Албанія	проект		7	7	7	7 рейсів на тиждень	Київ	Тирана	0		999	999	Kiev	Tirana	Albania	
Бахрейн	парафована		14	14	14	14 рейсів на Київ-Бахрейн	Київ	Бахрейн	1		999	999	Kiev	Bahrain	Bahrain	
Бахрейн	парафована		7	7	7	7 рейсів на інших маршрутах	всі	всі	1		999	999	all	all	Bahrain	
Бельгія	чинна	01.01.2003	999	999	999	Узгоджуються в робочому порядку	всі	всі	0	Частоти узгоджуються в робочому порядку	1	1	all	all	Belgium	http://zakon2.rada.gov.ua/laws/show/056_013
Білорусь	чинна	19.09.1995	35	35	35	по 5 рейсів на день для кожної сторони Київ - Мінськ.	Київ	Мінськ	1	Умова діє у літній сезон IATA	999	999	Kiev	Minsk	Belarus	http://zakon2.rada.gov.ua/laws/show/112_028?nreg=112_028&find=1&text=%EB%B3%F2%EE&x=0&y=0
Білорусь	чинна	19.09.1995	999	999	999	без обмежень	всі	всі	1		999	999	all	all	Belarus	http://zakon2.rada.gov.ua/laws/show/112_028?nreg=112_028&find=1&text=%EB%B3%F2%EE&x=0&y=0
Болгарія	чинна	14.04.1995	999	999	999	без обмежень	всі	всі	0		999	999	all	all	Bulgaria	
Боснія і Герцеговина	чинна	17.12.2009	999	999	999	без обмежень	Київ	всі	0		999	999	Kiev	all	Bosnia and Herzegovina	
Бразилія	підписана	02.12.2009	999	999	999	без обмежень	всі	всі	0		999	999	all	all	Brazil	http://zakon2.rada.gov.ua/laws/show/076_025
В’єтнам	чинна	20.04.1994	999	999	999	без обмежень	всі	всі	0		999	999	all	all	Vietnam	http://zakon2.rada.gov.ua/laws/show/704_010
Велика Британія	чинна	17.07.2015	17	17	17	17 рейсів: Лондон-Київ.	Київ	Лондон	1		999	999	Kiev	London	United Kingdom	http://zakon2.rada.gov.ua/laws/show/826_037
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: на інших маршрутах, крім Лондона і Києва.	всі	всі	1		999	999	all	all	United Kingdom	http://zakon2.rada.gov.ua/laws/show/826_037
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	Київ	всі	1		999	999	Kiev	all	United Kingdom	http://zakon2.rada.gov.ua/laws/show/826_037
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	всі	Лондон	1		999	999	all	London	United Kingdom	http://zakon2.rada.gov.ua/laws/show/826_037
Вірменія	чинна	11.08.1995	999	999	999	без обмежень	всі	всі	0		999	999	all	all	Armenia	http://zakon2.rada.gov.ua/laws/show/051_016
Гонконг	проект		999	7	999	7 рейсів на тиждень по кожному маршруту	всі	Гонконг	0		999	999	all	Hong Kong	Hong Kong	
Греція	підписана	06.10.2011	999	999	999	без обмежень	всі	всі	0		999	999	all	all	Greece	http://zakon2.rada.gov.ua/laws/show/300_028
Грузія	чинна	11.11.2011	999	999	999	без обмежень	всі	всі	0		999	999	all	all	Georgia	http://zakon2.rada.gov.ua/laws/show/268_108
