ukcity	encity	country
Софія	Sofia	Bulgaria
Актау	Aktau	Kazakhstan
Запоріжжя	Zaporizhia	Ukraine
Мілан	Milano	Italy
Гданськ	Gdansk	Poland
Караганда	Karaganda	Kazakhstan
Ларнака	Larnaca	Cyprus
Москва	Moscow	Russia
Касабланка	Casablanca	Morocco
Барселона	Barcelona	Spain
Мюнхен	Munich	Germany
Алеппо	Aleppo	Syria
Познан	Poznan	Poland
Тенеріфе	Tenerife	Spain
Зальцбург	Salzburg	Austria
Осло	Oslo	Norway
Кельн	Cologne	Germany
Вінниця	Vinnytsia	Ukraine
Дубай	Dubai	United Arab Emirates
Тирана	Tirana	Albania
Костанай	Kostanay	Kazakhstan
Бішкек	Bishkek	Kyrgyzstan
Брюссель	Brussels	Belgium
Франкфурт	Frankfurt	Germany
Цюрих	Zurich	Switzerland
Амман	Amman	Jordan
Пафос	Paphos	Cyprus
Варшава	Warsaw	Poland
Амрітсар	Amritsar	India
Паланга	Palanga	Lithuania
Львів	Lviv	Ukraine
Баку	Baku	Azerbaijan
Анкара	Ankara	Turkey
Кишинеу	Chisinau	Moldova
Київ	Kiev	Ukraine
Санкт-Петербург	St. Petersburg	Russia
Сочі	Sochi	Russia
Пула	Pula	Croatia
Подгориця	Podgorica	Montenegro
Одеса	Odessa	Ukraine
Салоніки	Thessaloniki	Greece
Лахор	Lahore	Pakistan
Кувейт	Kuwait City	Kuwait
Варна	Varna	Bulgaria
Багдад	Baghdad	Iraq
Льєж	Liege	Belgium
IVL	Ivalo	Finland
Астана	Astana	Kazakhstan
Харків	Kharkiv	Ukraine
Ганновер	Hanover	Germany
Гуанчжоу	Guangzhou	China
Нью-Делі	New Delhi	India
Валенсія	Valencia	Spain
Рас-аль-Хайма	Ras al Khaimah	United Arab Emirates
ENF	Enontekio	Finland
Чернівці	Chernivtsi	Ukraine
Малага	Malaga	Spain
Лісабон	Lisbon	Portugal
Тяньцзинь	Tianjin	China
Люксембург	Luxembourg	Luxembourg
Венеція	Venice	Italy
Дніпропетровськ	Dnipro	Ukraine
Пекін	Beijing	China
Кутаїсі	Kutaisi	Georgia
Берлін	Berlin	Germany
Брешія	Brescia	Italy
Каїр	Cairo	Egypt
Гельсінкі	Helsinki	Finland
Дамаск	Damascus	Syria
Кіттіла	Kittila	Finland
Джерба	Medenine	Tunisia
Дубровнік	Dubrovnik	Croatia
Прага	Prague	Czechia
Алмати	Almaty	Kazakhstan
Ашгабад	Ashgabat	Turkmenistan
Бангкок	Bangkok	Thailand
Даммам	Dammam	Saudi Arabia
Калінінград	Kaliningrad	Russia
Енфіда	Enfidha	Tunisia
Париж	Paris	France
Куала-Лумпур	Kuala Lumpur	Malaysia
Копенгаген	Copenhagen	Denmark
Херсон	Kherson	Ukraine
Дюссельдорф	Dusseldorf	Germany
Пешовар	Peshawar	Pakistan
Шарм Ель Шейх	Sharm El-Sheikh	Egypt
Любляна	Ljubljana	Slovenia
Вільнюс	Vilnius	Lithuania
KEM	Kemi	Finland
Відень	Vienna	Austria
Дніпро	Dnipro	Ukraine
Гянджа	Ganja	Azerbaijan
Штуттгард	Stuttgart	Germany
Кишинів	Chisinau	Moldova
Гамбург	Hamburg	Germany
Женева	Geneva	Switzerland
Охрід	Ohrid	Macedonia (FYROM)
Ербіль	Erbil	Iraq
Тірана	Tirana	Albania
Салерно	Salerno	Italy
Триполі	Tripoli	Libya
Пальма де Мальорка	Palma	Spain
Єреван	Yerevan	Armenia
Рим	Rome	Italy
Улан-Батор	Ulaanbaatar	Mongolia
Будапешт	Budapest	Hungary
Усть-Каменогорск	Ust Kamenogorsk	Kazakhstan
Кривий Ріг	Kryvyi Rih	Ukraine
Донецьк	Donetsk	Ukraine
Дрезден	Dresden	Germany
Нью-Йорк	New York	United States
Монастір	Monastir	Tunisia
Стокгольм	Stockholm	Sweden
Тбілісі	Tbilisi	Georgia
RVN	Rovaniemi	Finland
Рівне	Rivne	Ukraine
Душанбе	Dushanbe	Tajikistan
Карачі	Karachi	Pakistan
Стамбул	Istanbul	Turkey
Люблін	Lublin	Poland
Бургас	Burgas	Bulgaria
Бєлград	Belgrade	Serbia
Спліт	Split	Croatia
Аліканте	Alicante	Spain
Тяньцзінь	Tianjin	China
Ісламабад	Islamabad	Pakistan
Лондон	London	United Kingdom
Задар	Zadar	Croatia
Туніс	Tunis	Tunisia
Лінкорань	Lankaran	Azerbaijan
Амстердам	Amsterdam	Netherlands
Болонья	Bologna	Italy
Бергамо	Bergamo	Italy
Таллінн	Tallinn	Estonia
Ташкент	Tashkent	Uzbekistan
Ніцца	Nice	France
Павлодар	Pavlodar	Kazakhstan
Острава	Ostrava	Czechia
Бахрейн	Bahrain	Bahrain
Тель-Авів	Tel-aviv	Israel
Шираз	Shiraz	Iran
Бейрут	Beirut	Lebanon
Кастельон-де-ла-Плана	Castellon de la Plana	Spain
Торонто	Toronto	Canada
Лука	Lucca	Italy
Сандефьорд	Sandefjord	Norway
Джакарта	Jakarta	Indonesia
Каунас	Kaunas	Lithuania
Мадрид	Madrid	Spain
Новосибірськ	Novosibirsk	Russia
Тегеран	Tehran	Iran
Ейлат	Eilat	Israel
Коломбо	Colombo	Sri Lanka
Неаполь	Naples	Italy
Гонконг	Hong Kong	Hong Kong
Скоп’є	Skopje	Macedonia
Гюмрі	Gyumri	Armenia
Мінськ	Minsk	Belarus
Сімферополь	Simferopol	Simferopol
Попрад	Poprad	Slovakia
Батумі	Batumi	Georgia
Бухарест	Bucharest	Romania
HEL	Helsinki	Finland
Шанхай	Shanghai	China
Братислава	Bratislava	Slovakia
Афіни	Athens	Greece
Рига	Riga	Latvia
Рейк’явік	Reykjavik	Iceland
Івано-Франківськ	Ivano-Frankivsk	Ukraine
Гоа	Goa	India
Делі	Delhi	India
KTT	Kittila	Finland
Карлови Вари	Karlovy Vary	Czechia
