country	stage	date	fw_gen	fw_route	fw_airline	text	points_ua	points_foreign	notfull	comments	airlines_total	airlines_route
Австрія	чинна	01.12.1994	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	0		999	999
Азербайджан	чинна	30.01.1996	999	14	999	14 рейсів на тиждень на кожному маршруті	всі	всі	1		999	1
Азербайджан	чинна	30.01.1996	999	999	999	без обмежень	Одеса--Львів	Лінкорань	1		999	1
Албанія	проект		7	7	7	7 рейсів на тиждень	Київ	Тирана	0		999	999
Бахрейн	парафована		14	14	14	14 рейсів на Київ-Бахрейн	Київ	Бахрейн	1		999	999
Бахрейн	парафована		7	7	7	7 рейсів на інших маршрутах	всі	всі	1		999	999
Бельгія	чинна	01.01.2003	999	999	999	Узгоджуються в робочому порядку	всі	всі	0	Частоти узгоджуються в робочому порядку	1	1
Білорусь	чинна	19.09.1995	35	35	35	по 5 рейсів на день для кожної сторони Київ - Мінськ.	Київ	Мінськ	1	Умова діє у літній сезон IATA	999	999
Білорусь	чинна	19.09.1995	999	999	999	без обмежень	всі	всі	1		999	999
Болгарія	чинна	14.04.1995	999	999	999	без обмежень	всі	всі	0		999	999
Боснія і Герцеговина	чинна	17.12.2009	999	999	999	без обмежень	Київ	всі	0		999	999
Бразилія	підписана	02.12.2009	999	999	999	без обмежень	всі	всі	0		999	999
В’єтнам	чинна	20.04.1994	999	999	999	без обмежень	всі	всі	0		999	999
Велика Британія	чинна	17.07.2015	17	17	17	17 рейсів: Лондон-Київ.	Київ	Лондон	1		999	999
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: на інших маршрутах, крім Лондона і Києва.	всі	всі	1		999	999
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	Київ	всі	1		999	999
Велика Британія	чинна	17.07.2015	7	7	7	7 рейсів: до Лондону з інших пунктів України, до Києва з інших пунктів в Британії.	всі	Лондон	1		999	999
Вірменія	чинна	11.08.1995	999	999	999	без обмежень	всі	всі	0		999	999
Гонконг	проект		999	7	999	7 рейсів на тиждень по кожному маршруту	всі	Гонконг	0		999	999
Греція	підписана	06.10.2011	999	999	999	без обмежень	всі	всі	0		999	999
Грузія	чинна	11.11.2011	999	999	999	без обмежень	всі	всі	0		999	999
Данія	чинна	27.03.2001	999	999	999	без обмежень	всі	Копенгаген--NA--NA	0		999	999
Естонія	чинна	16.09.1993	999	999	999	без обмежень	всі	всі	0		999	999
Єгипет	чинна	22.12.1993	4	4	4	4 рейси для кожної сторони за основним маршрутом Київ-Каїр без обмеження ємності.	Київ	Каїр	1		999	999
